lookback,exit_lookback,atr_stop_mult,score
10,3,1.0,3.12522840569782
10,3,1.5,3.12522840569782
10,3,2.0,3.12522840569782
10,3,2.5,3.12522840569782
10,4,1.0,2.8182461354300017
10,4,1.5,2.8182461354300017
10,4,2.0,2.8182461354300017
10,4,2.5,2.8182461354300017
10,5,1.0,3.8296820855717044
10,5,1.5,3.8296820855717044
10,5,2.0,3.8296820855717044
10,5,2.5,3.8296820855717044
10,6,1.0,3.837390890648844
10,6,1.5,3.837390890648844
10,6,2.0,3.837390890648844
10,6,2.5,3.837390890648844
10,7,1.0,3.1656941858311898
10,7,1.5,3.1656941858311898
10,7,2.0,3.1656941858311898
10,7,2.5,3.1656941858311898
10,8,1.0,2.270344224469974
10,8,1.5,2.270344224469974
10,8,2.0,2.270344224469974
10,8,2.5,2.270344224469974
10,9,1.0,2.753572840636578
10,9,1.5,2.753572840636578
10,9,2.0,2.8182461354300017
10,9,2.5,2.753572840636578
15,3,1.0,3.6069713262359064
15,3,1.5,3.6069713262359064
15,3,2.0,3.6069713262359064
15,3,2.5,3.6069713262359064
15,4,1.0,2.6931151899210484
15,4,1.5,2.6931151899210484
15,4,2.0,2.6931151899210484
15,4,2.5,2.6931151899210484
15,5,1.0,3.9063240082677853
15,5,1.5,3.9063240082677853
15,5,2.0,3.9063240082677853
15,5,2.5,3.9063240082677853
15,6,1.0,3.8178587561203643
15,6,1.5,3.8178587561203643
15,6,2.0,3.8178587561203643
15,6,2.5,3.8178587561203643
15,7,1.0,3.3173565295378107
15,7,1.5,3.3173565295378107
15,7,2.0,3.3173565295378107
15,7,2.5,3.3173565295378107
15,8,1.0,2.490561936612375
15,8,1.5,2.490561936612375
15,8,2.0,2.490561936612375
15,8,2.5,2.490561936612375
15,9,1.0,2.891047013146497
15,9,1.5,2.891047013146497
15,9,2.0,2.891047013146497
15,9,2.5,2.891047013146497
15,10,1.0,3.532720354618605
15,10,1.5,3.532720354618605
15,10,2.0,3.532720354618605
15,10,2.5,3.532720354618605
15,11,1.0,3.293538778421998
15,11,1.5,3.293538778421998
15,11,2.0,3.293538778421998
15,11,2.5,3.293538778421998
15,12,1.0,3.299857981606698
15,12,1.5,3.299857981606698
15,12,2.0,3.299857981606698
15,12,2.5,3.299857981606698
15,13,1.0,3.499864157462963
15,13,1.5,3.499864157462963
15,13,2.0,3.499864157462963
15,13,2.5,3.499864157462963
15,14,1.0,3.577173105940911
15,14,1.5,3.577173105940911
15,14,2.0,3.577173105940911
15,14,2.5,3.577173105940911
20,3,1.0,3.3738414494316817
20,3,1.5,3.3738414494316817
20,3,2.0,3.3738414494316817
20,3,2.5,3.3738414494316817
20,4,1.0,3.855501221389359
20,4,1.5,3.855501221389359
20,4,2.0,3.855501221389359
20,4,2.5,3.855501221389359
20,5,1.0,4.292364555396618
20,5,1.5,4.292364555396618
20,5,2.0,4.292364555396618
20,5,2.5,4.292364555396618
20,6,1.0,4.848959753469721
20,6,1.5,4.848959753469721
20,6,2.0,4.848959753469721
20,6,2.5,4.848959753469721
20,7,1.0,3.805930431834662
20,7,1.5,3.805930431834662
20,7,2.0,3.805930431834662
20,7,2.5,3.805930431834662
20,8,1.0,2.6294912584040615
20,8,1.5,2.6294912584040615
20,8,2.0,2.6294912584040615
20,8,2.5,2.6294912584040615
20,9,1.0,3.7109241372631634
20,9,1.5,3.7109241372631634
20,9,2.0,3.7109241372631634
20,9,2.5,3.7109241372631634
20,10,1.0,8.936612476426346
20,10,1.5,8.936612476426346
20,10,2.0,8.936612476426346
20,10,2.5,8.936612476426346
20,11,1.0,9.413722282647909
20,11,1.5,9.413722282647909
20,11,2.0,9.413722282647909
20,11,2.5,9.413722282647909
20,12,1.0,11.689553698966408
20,12,1.5,11.689553698966408
20,12,2.0,11.689553698966408
20,12,2.5,11.689553698966408
20,13,1.0,17.21219724111646
20,13,1.5,17.21219724111646
20,13,2.0,17.21219724111646
20,13,2.5,17.21219724111646
20,14,1.0,15.304762958512708
20,14,1.5,15.304762958512708
20,14,2.0,15.304762958512708
20,14,2.5,15.304762958512708
20,15,1.0,11.375329844175866
20,15,1.5,11.375329844175866
20,15,2.0,11.375329844175866
20,15,2.5,11.375329844175866
20,16,1.0,20.324015494990697
20,16,1.5,20.324015494990697
