lookback,exit_lookback,atr_stop_mult,score
5,2,1.0,4.343538539123565
5,2,2.0,4.343538539123565
5,2,3.0,4.343538539123565
5,2,4.0,4.343538539123565
5,2,5.0,4.343538539123565
5,3,1.0,3.3848959048462164
5,3,2.0,3.3848959048462164
5,3,3.0,3.3848959048462164
5,3,4.0,3.3848959048462164
5,3,5.0,3.3848959048462164
5,4,1.0,3.1301418695068786
5,4,2.0,3.1301418695068786
5,4,3.0,3.1301418695068786
5,4,4.0,3.1301418695068786
5,4,5.0,3.1301418695068786
7,2,1.0,6.19784908599855
7,2,2.0,6.19784908599855
7,2,3.0,6.19784908599855
7,2,4.0,6.19784908599855
7,2,5.0,6.19784908599855
7,3,1.0,5.233745959167481
7,3,2.0,5.233745959167481
7,3,3.0,5.233745959167481
7,3,4.0,5.233745959167481
7,3,5.0,5.233745959167481
7,4,1.0,4.897084535522481
7,4,2.0,4.897084535522481
7,4,3.0,4.897084535522481
7,4,4.0,4.897084535522481
7,4,5.0,4.897084535522481
7,5,1.0,4.328906672973626
7,5,2.0,4.328906672973626
7,5,3.0,4.328906672973626
7,5,4.0,4.328906672973626
7,5,5.0,4.328906672973626
7,6,1.0,4.60973506439208
7,6,2.0,4.60973506439208
7,6,3.0,4.60973506439208
7,6,4.0,4.60973506439208
7,6,5.0,4.60973506439208
9,2,1.0,4.921195419006344
9,2,2.0,4.921195419006344
9,2,3.0,4.921195419006344
9,2,4.0,4.921195419006344
9,2,5.0,4.921195419006344
9,3,1.0,3.981622452697757
9,3,2.0,3.981622452697757
9,3,3.0,3.981622452697757
9,3,4.0,3.981622452697757
9,3,5.0,3.981622452697757
9,4,1.0,3.9631192962646673
9,4,2.0,3.9631192962646673
9,4,3.0,3.9631192962646673
9,4,4.0,3.9631192962646673
9,4,5.0,3.9631192962646673
9,5,1.0,3.5431417883300855
9,5,2.0,3.5431417883300855
9,5,3.0,3.5431417883300855
9,5,4.0,3.5431417883300855
9,5,5.0,3.5431417883300855
9,6,1.0,3.8239701797485397
9,6,2.0,3.8239701797485397
9,6,3.0,3.8239701797485397
9,6,4.0,3.8239701797485397
9,6,5.0,3.8239701797485397
9,7,1.0,5.071964429016098
9,7,2.0,5.071964429016098
9,7,3.0,5.071964429016098
9,7,4.0,5.071964429016098
9,7,5.0,5.071964429016098
9,8,1.0,3.9662500555419866
9,8,2.0,3.9662500555419866
9,8,3.0,3.9662500555419866
9,8,4.0,3.9662500555419866
9,8,5.0,3.9662500555419866
11,2,1.0,6.826193397216794
11,2,2.0,6.826193397216794
