lookback,exit_lookback,atr_stop_mult,Sharpe Ratio
10,5,1.5,3.2198358623475203
10,5,2.0,3.2198358623475203
10,5,3.0,3.2198358623475203
15,5,1.5,3.2827308032017375
15,5,2.0,3.2827308032017375
15,5,3.0,3.2827308032017375
15,10,1.5,3.4921924150255945
15,10,2.0,3.4921924150255945
15,10,3.0,3.4921924150255945
20,5,1.5,3.0707208520060605
20,5,2.0,3.0707208520060605
20,5,3.0,3.0707208520060605
20,10,1.5,3.2189898305123386
20,10,2.0,3.2189898305123386
20,10,3.0,3.2189898305123386
20,15,1.5,3.344206226449454
20,15,2.0,3.344206226449454
20,15,3.0,3.344206226449454
25,5,1.5,3.1592489669836286
25,5,2.0,3.1592489669836286
25,5,3.0,3.1592489669836286
25,10,1.5,3.1778300927515355
25,10,2.0,3.1778300927515355
25,10,3.0,3.1778300927515355
25,15,1.5,3.271117538843611
25,15,2.0,3.271117538843611
25,15,3.0,3.271117538843611
25,20,1.5,3.1696750539985397
25,20,2.0,3.1696750539985397
25,20,3.0,3.1696750539985397
30,5,1.5,3.375697652635583
30,5,2.0,3.375697652635583
30,5,3.0,3.375697652635583
30,10,1.5,3.067279415225909
30,10,2.0,3.067279415225909
30,10,3.0,3.067279415225909
30,15,1.5,3.1759928918725886
30,15,2.0,3.1759928918725886
30,15,3.0,3.1759928918725886
30,20,1.5,3.1507334027685454
30,20,2.0,3.1507334027685454
30,20,3.0,3.1507334027685454
30,25,1.5,2.844077438664409
30,25,2.0,2.844077438664409
30,25,3.0,2.844077438664409
35,5,1.5,3.628542676636362
35,5,2.0,3.628542676636362
35,5,3.0,3.628542676636362
35,10,1.5,3.2894594365752856
35,10,2.0,3.2894594365752856
35,10,3.0,3.2894594365752856
35,15,1.5,3.38512019611769
35,15,2.0,3.38512019611769
35,15,3.0,3.38512019611769
35,20,1.5,3.364329464533508
35,20,2.0,3.364329464533508
35,20,3.0,3.364329464533508
35,25,1.5,3.0627931575117717
35,25,2.0,3.0627931575117717
35,25,3.0,3.0627931575117717
40,5,1.5,3.6295614183303075
40,5,2.0,3.6295614183303075
40,5,3.0,3.6295614183303075
40,10,1.5,3.1412720496442623
40,10,2.0,3.1412720496442623
40,10,3.0,3.1412720496442623
40,15,1.5,3.2777031677591233
40,15,2.0,3.2777031677591233
40,15,3.0,3.2777031677591233
40,20,1.5,3.277393555737065
40,20,2.0,3.277393555737065
40,20,3.0,3.277393555737065
40,25,1.5,3.0610301307403085
40,25,2.0,3.0610301307403085
40,25,3.0,3.0610301307403085
45,5,1.5,3.0658165938135973
45,5,2.0,3.0658165938135973
45,5,3.0,3.0658165938135973
45,10,1.5,2.637683393439012
45,10,2.0,2.637683393439012
45,10,3.0,2.637683393439012
45,15,1.5,2.76238459735518
45,15,2.0,2.76238459735518
45,15,3.0,2.76238459735518
45,20,1.5,2.750810967064621
45,20,2.0,2.750810967064621
45,20,3.0,2.750810967064621
45,25,1.5,2.518973668864921
45,25,2.0,2.518973668864921
45,25,3.0,2.518973668864921
50,5,1.5,2.786677649500898
50,5,2.0,2.786677649500898
50,5,3.0,2.786677649500898
50,10,1.5,2.1324912029346175
50,10,2.0,2.1324912029346175
50,10,3.0,2.1324912029346175
50,15,1.5,2.3158560286260084
50,15,2.0,3.2777031677591233
50,15,3.0,2.3158560286260084
50,20,1.5,2.2986820827203576
50,20,2.0,2.2986820827203576
50,20,3.0,2.2986820827203576
50,25,1.5,1.9960103846981567
50,25,2.0,1.9960103846981567
50,25,3.0,1.9960103846981567
55,5,1.5,2.5676227086581003
55,5,2.0,2.5676227086581003
55,5,3.0,2.5676227086581003
55,10,1.5,2.635839193944568
55,10,2.0,2.635839193944568
55,10,3.0,2.635839193944568
55,15,1.5,2.750283755730263
55,15,2.0,2.750283755730263
55,15,3.0,2.750283755730263
55,20,1.5,2.708457584576315
55,20,2.0,2.708457584576315
55,20,3.0,2.708457584576315
55,25,1.5,2.3168065204590014
55,25,2.0,2.3168065204590014
55,25,3.0,2.3168065204590014
