lookback,exit_lookback,atr_stop_mult,0
10,3,1.0,-1.0
10,3,1.25,-1.0
10,3,1.5,-1.0
10,3,1.75,-1.0
10,3,2.0,-1.0
10,3,2.5,-1.0
10,4,1.0,-1.0
10,4,1.25,-1.0
10,4,1.5,-1.0
10,4,1.75,-1.0
10,4,2.0,-1.0
10,4,2.5,-1.0
10,5,1.0,-1.0
10,5,1.25,-1.0
10,5,1.5,-1.0
10,5,1.75,-1.0
10,5,2.0,-1.0
10,5,2.5,-1.0
10,6,1.0,-1.0
10,6,1.25,-1.0
10,6,1.5,-1.0
10,6,1.75,-1.0
10,6,2.0,-1.0
10,6,2.5,-1.0
10,7,1.0,-1.0
10,7,1.25,-1.0
10,7,1.5,-1.0
10,7,1.75,-1.0
10,7,2.0,-1.0
10,7,2.5,-1.0
10,8,1.0,-1.0
10,8,1.25,-1.0
10,8,1.5,-1.0
10,8,1.75,-1.0
10,8,2.0,-1.0
10,8,2.5,-1.0
10,9,1.0,-1.0
10,9,1.25,-1.0
10,9,1.5,-1.0
10,9,1.75,-1.0
10,9,2.0,-1.0
10,9,2.5,-1.0
12,3,1.0,-1.0
12,3,1.25,-1.0
12,3,1.5,-1.0
12,3,1.75,-1.0
12,3,2.0,-1.0
12,3,2.5,-1.0
12,4,1.0,-1.0
12,4,1.25,-1.0
12,4,1.5,-1.0
12,4,1.75,-1.0
12,4,2.0,-1.0
12,4,2.5,-1.0
12,5,1.0,-1.0
12,5,1.25,-1.0
12,5,1.5,-1.0
12,5,1.75,-1.0
12,5,2.0,-1.0
12,5,2.5,-1.0
12,6,1.0,-1.0
12,6,1.25,-1.0
12,6,1.5,-1.0
12,6,1.75,-1.0
12,6,2.0,-1.0
12,6,2.5,-1.0
12,7,1.0,-1.0
12,7,1.25,-1.0
12,7,1.5,-1.0
12,7,1.75,-1.0
12,7,2.0,-1.0
12,7,2.5,-1.0
12,8,1.0,-1.0
12,8,1.25,-1.0
12,8,1.5,-1.0
12,8,1.75,-1.0
12,8,2.0,-1.0
12,8,2.5,-1.0
12,9,1.0,-1.0
12,9,1.25,-1.0
12,9,1.5,-1.0
12,9,1.75,-1.0
12,9,2.0,-1.0
12,9,2.5,-1.0
12,10,1.0,-1.0
12,10,1.25,-1.0
12,10,1.5,-1.0
12,10,1.75,-1.0
12,10,2.0,-1.0
12,10,2.5,-1.0
12,11,1.0,-1.0
12,11,1.25,-1.0
12,11,1.5,-1.0
12,11,1.75,-1.0
12,11,2.0,-1.0
12,11,2.5,-1.0
14,3,1.0,-1.0
14,3,1.25,-1.0
14,3,1.5,-1.0
14,3,1.75,-1.0
14,3,2.0,-1.0
14,3,2.5,-1.0
14,4,1.0,-1.0
14,4,1.25,-1.0
14,4,1.5,-1.0
14,4,1.75,-1.0
14,4,2.0,-1.0
14,4,2.5,-1.0
14,5,1.0,-1.0
14,5,1.25,-1.0
14,5,1.5,-1.0
14,5,1.75,-1.0
14,5,2.0,-1.0
14,5,2.5,-1.0
14,6,1.0,-1.0
14,6,1.25,-1.0
14,6,1.5,-1.0
14,6,1.75,-1.0
14,6,2.0,-1.0
14,6,2.5,-1.0
14,7,1.0,-1.0
14,7,1.25,-1.0
14,7,1.5,-1.0
14,7,1.75,-1.0
14,7,2.0,-1.0
14,7,2.5,-1.0
14,8,1.0,-1.0
14,8,1.25,-1.0
14,8,1.5,-1.0
14,8,1.75,-1.0
14,8,2.0,-1.0
14,8,2.5,-1.0
14,9,1.0,-1.0
14,9,1.25,-1.0
14,9,1.5,-1.0
14,9,1.75,-1.0
14,9,2.0,-1.0
14,9,2.5,-1.0
14,10,1.0,-1.0
14,10,1.25,-1.0
