lookback_entry,lookback_exit,atr_multiplier,use_trend_filter,return,trades,win_rate,sharpe,max_dd,profit_factor
5,15,2.0,False,24.177119724911773,5,40.0,0.9789090096020581,-14.0362458879144,3.6405601736443196
10,15,2.0,False,22.773282899532642,5,40.0,0.9356146298008908,-13.68765130981,3.8087821518232774
10,15,2.5,False,20.83377372736197,5,40.0,0.8679752342222244,-15.05116939780644,3.2321826907440583
5,15,2.5,False,20.83377372736197,5,40.0,0.8679752342222244,-15.05116939780644,3.2321826907440583
5,12,1.5,False,19.879020862458656,7,28.57142857142857,0.7972118090792277,-13.830772436270223,2.8062195573719046
15,15,2.5,False,18.118553878319325,5,40.0,0.771350349398991,-16.96002934555967,2.6691903046338
10,12,1.5,False,18.01138765036081,7,28.57142857142857,0.7408401932379898,-13.80736022084854,2.825451565257094
5,12,2.0,False,17.71547272860167,7,28.57142857142857,0.7234968997488744,-15.337949656753935,2.4012442926581787
20,15,0.5,True,17.568305823736498,4,25.0,1.3388204719440586,-9.515556661003377,5.890707199624759
20,12,0.5,True,17.568305823736498,4,25.0,1.3388204719440586,-9.515556661003377,5.890707199624759
15,15,0.5,True,16.8466907958129,5,20.0,1.2892923604991524,-10.070935371696166,5.073033340102541
15,12,0.5,True,16.8466907958129,5,20.0,1.2892923604991524,-10.070935371696166,5.073033340102541
15,15,2.0,False,15.742559292319019,6,33.33333333333333,0.6961860282842356,-18.630406388101406,2.2741680831350775
10,15,0.5,True,15.677368160736041,7,14.285714285714285,1.1743278139878308,-10.970884613775455,4.12120096354506
10,12,0.5,True,15.677368160736041,7,14.285714285714285,1.1743278139878308,-10.970884613775455,4.12120096354506
25,12,1.5,True,15.536665005024751,3,33.33333333333333,1.1728930493690606,-11.343242239291163,3.8913879420763116
25,15,1.5,True,15.536665005024751,3,33.33333333333333,1.1728930493690606,-11.343242239291163,3.8913879420763116
10,12,2.0,False,15.074477738771694,7,28.57142857142857,0.6358435690788028,-15.952407602406439,2.3017357931491067
5,12,0.5,True,14.79180928430096,11,9.090909090909092,1.0962158274816318,-12.097264331407287,2.7834214653090124
5,15,0.5,True,14.79180928430096,11,9.090909090909092,1.0962158274816318,-12.097264331407287,2.7834214653090124
5,12,2.5,False,14.541018301804087,7,28.57142857142857,0.611119016767589,-16.342033366519704,2.211625206073712
20,12,1.0,True,14.502018333986888,4,25.0,1.1094214666075117,-11.87547258122843,3.5130677026762163
20,15,1.0,True,14.502018333986888,4,25.0,1.1094214666075117,-11.87547258122843,3.5130677026762163
10,15,1.5,True,14.277030429419192,4,25.0,1.0019503320531733,-12.048630688425588,3.384851218062785
30,12,0.5,True,13.850715130051231,3,33.33333333333333,1.2031519502857706,-8.29487356457591,6.901482121002319
30,15,0.5,True,13.850715130051231,3,33.33333333333333,1.2031519502857706,-8.29487356457591,6.901482121002319
10,15,1.0,True,13.8177137778633,6,16.666666666666664,1.0486214990594849,-12.402135923030876,3.194940909420371
10,12,1.0,True,13.8177137778633,6,16.666666666666664,1.0486214990594849,-12.402135923030876,3.194940909420371
25,15,2.0,True,13.295458924813937,3,33.33333333333333,1.018544751071248,-13.06302586413819,2.943245491785824
25,12,2.0,True,13.295458924813937,3,33.33333333333333,1.018544751071248,-13.06302586413819,2.943245491785824
15,12,1.0,True,13.022224074648511,5,20.0,1.002102794284578,-13.014371018816039,2.934603286118595
15,15,1.0,True,13.022224074648511,5,20.0,1.002102794284578,-13.014371018816039,2.934603286118595
25,15,0.5,True,12.75076185699234,4,25.0,1.0966137420433126,-8.297030690947771,4.62003761747369
25,12,0.5,True,12.75076185699234,4,25.0,1.0966137420433126,-8.297030690947771,4.62003761747369
10,12,2.5,False,12.504090831100967,7,28.57142857142857,0.5391909500243564,-17.829755519730362,1.9694257738057115
10,15,2.0,True,12.035824349208378,4,25.0,0.8563737884313979,-13.77353676030425,2.63154257205064
30,15,1.0,True,12.035253421511134,3,33.33333333333333,1.0457648897824292,-9.757202064929748,4.080080572288059
