atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
2.0,2.0,5,40,1.0,-9.008930110735218
2.0,2.0,5,40,1.5,-2.8649382366944516
2.0,2.0,5,40,2.0,-2.894880178266285
2.0,2.0,5,50,1.0,-8.267711103384919
2.0,2.0,5,50,1.5,-3.484163643232168
2.0,2.0,5,50,2.0,-2.797162644696964
2.0,2.0,5,60,1.0,-7.565526161978705
2.0,2.0,5,60,1.5,-3.1259422947039455
2.0,2.0,5,60,2.0,-2.649575971069371
2.0,2.0,10,40,1.0,-7.6554225059292005
2.0,2.0,10,40,1.5,-2.462615533665303
2.0,2.0,10,40,2.0,-3.027132566266773
2.0,2.0,10,50,1.0,-7.199834886518293
2.0,2.0,10,50,1.5,-2.431901631774963
2.0,2.0,10,50,2.0,-2.7250020831298936
2.0,2.0,10,60,1.0,-6.330016626630604
2.0,2.0,10,60,1.5,-2.4958523477173546
2.0,2.0,10,60,2.0,-2.958267839965847
2.0,2.0,15,40,1.0,-9.483797664664108
2.0,2.0,15,40,1.5,-2.099493930184599
2.0,2.0,15,40,2.0,-2.756766495361353
2.0,2.0,15,50,1.0,-8.639046020071927
2.0,2.0,15,50,1.5,-4.328592479466115
2.0,2.0,15,50,2.0,-3.695086701137006
2.0,2.0,15,60,1.0,-8.756343541129045
2.0,2.0,15,60,1.5,-4.250624324297278
2.0,2.0,15,60,2.0,-3.5001464219447005
2.0,3.0,5,40,1.0,-10.642290390973775
2.0,3.0,5,40,1.5,-5.255573655657136
2.0,3.0,5,40,2.0,-4.004453397739963
2.0,3.0,5,50,1.0,-9.170920489589207
2.0,3.0,5,50,1.5,-5.78275253239226
2.0,3.0,5,50,2.0,-3.9135398015485774
2.0,3.0,5,60,1.0,-9.053050385785864
2.0,3.0,5,60,1.5,-4.435092353297695
2.0,3.0,5,60,2.0,-3.7914991195678702
2.0,3.0,10,40,1.0,-9.291799596775618
2.0,3.0,10,40,1.5,-3.5380972587368156
2.0,3.0,10,40,2.0,-4.253522919921907
2.0,3.0,10,50,1.0,-8.679523102722197
2.0,3.0,10,50,1.5,-3.5162020000349368
2.0,3.0,10,50,2.0,-2.954593998543842
2.0,3.0,10,60,1.0,-8.109251305149701
2.0,3.0,10,60,1.5,-3.6542458114188596
2.0,3.0,10,60,2.0,-3.266245267726335
2.0,3.0,15,40,1.0,-6.890058390808172
2.0,3.0,15,40,1.5,-2.070005647408634
2.0,3.0,15,40,2.0,-3.0936808695330003
2.0,3.0,15,50,1.0,-8.887385579616112
2.0,3.0,15,50,1.5,-4.8247184313965406
2.0,3.0,15,50,2.0,-3.2574835630144303
2.0,3.0,15,60,1.0,-8.864586137739007
2.0,3.0,15,60,1.5,-4.774291920340456
2.0,3.0,15,60,2.0,-3.0695610957117605
2.0,4.0,5,40,1.0,-8.603373602251377
2.0,4.0,5,40,1.5,-2.869923485979416
2.0,4.0,5,40,2.0,-3.0282520990426383
2.0,4.0,5,50,1.0,-6.99223361528675
2.0,4.0,5,50,1.5,-3.3495670594134572
2.0,4.0,5,50,2.0,-2.92186481318884
2.0,4.0,5,60,1.0,-5.33082629481727
2.0,4.0,5,60,1.5,-1.749754193725603
