atr_mult,tp_mult,ema_fast,ema_slow,vol_mult,Return [%]
2.5,3.0,10,50,1.5,0.27869404942106485
2.5,3.0,10,80,1.5,-1.086131493377652
2.5,3.0,20,50,1.5,-2.314904708535305
2.5,3.0,20,80,1.5,-3.5297146496363894
2.5,5.0,10,50,1.5,5.86451642523085
2.5,5.0,10,80,1.5,5.3216636482184185
2.5,5.0,20,50,1.5,0.8697007421003218
2.5,5.0,20,80,1.5,-0.4985005481611006
3.5,3.0,10,50,1.5,4.452449611473094
3.5,3.0,10,80,1.5,0.1299598386764592
3.5,3.0,20,50,1.5,1.2031154810714726
3.5,3.0,20,80,1.5,0.40429251010893497
3.5,5.0,10,50,1.5,10.107123206558244
3.5,5.0,10,80,1.5,5.865951636695863
3.5,5.0,20,50,1.5,7.573480383987426
3.5,5.0,20,80,1.5,5.971351636695872
